Model,Accuracy
GPT_5_nano_nr,0.46025
GPT_5_nano_r,0.74225
GPT_5_nr,0.78575
GPT_5_r,0.803
GPT_41,0.75075
CLIP_test_label2,0.61475
CLIP_test_label3,0.7215
CLIP_test_label4,0.72225
CLIP_test_label5,0.7295
CLIP_test_label6,0.763
CLIP_test_label7,0.7505
CLIP_test_label8,0.7665
CLIP_test_label9,0.77675
CLIP_test_label10,0.78375
CLIP_test_label11,0.773
CLIP_test_label12,0.77775
CLIP_test_label13,0.7815
CLIP_test_label14,0.789
CLIP_test_label15,0.7945
CLIP_test_label16,0.79675
CLIP_test_label17,0.79675
CLIP_test_label18,0.805
CLIP_test_label19,0.783
CLIP_test_label20,0.79975
CLIP_1,0.53
